HOMES_SOLD,PENDING_SALES,NEW_LISTINGS
-39.05491728784675,-24.224747394398328,-37.996536938848166
-33.0060425963254,-26.24433144735445,-38.874442821326184
-31.134893245845763,-33.96725752265508,-36.60307055816362
-35.03859667295779,-28.590883539345903,-41.645806807909544
-27.252135854631888,-27.07402558509574,-35.275582264591634
-23.072282817366318,-11.006604261616026,-34.08561670670315
-8.503947965742388,-13.231109484693581,-30.97225150545546
-17.403430116959317,-24.777344235301825,-12.047722260238247
-22.76443875695322,-15.0241663453474,-10.97425403651765
-9.159832481263475,-6.664995986834777,-0.1671871379915979
-10.02387485171493,-7.070439809787743,5.580309140632123
-11.490328811274953,-4.812376930058349,9.993647485702661
